iter	Passed	Remaining
791	1176	308
792	1177	307
793	1179	306
794	1181	304
795	1182	303
796	1184	301
797	1185	300
798	1186	298
799	1189	297
800	1191	296
801	1192	294
802	1194	292
803	1196	291
804	1197	290
805	1198	288
806	1200	287
807	1201	285
808	1203	284
809	1204	282
810	1206	281
811	1207	279
812	1208	277
813	1209	276
814	1210	274
815	1212	273
816	1214	271
817	1215	270
818	1218	269
819	1220	267
820	1221	266
821	1222	264
822	1224	263
823	1225	261
824	1228	260
825	1231	259
826	1234	258
827	1236	256
828	1237	255
829	1239	253
830	1240	252
831	1241	250
832	1243	249
833	1244	247
834	1245	246
835	1248	244
836	1250	243
837	1251	241
838	1253	240
839	1254	238
840	1255	237
841	1256	235
842	1258	234
843	1259	232
844	1262	231
845	1264	230
846	1266	228
847	1267	227
848	1269	225
849	1270	224
850	1271	222
851	1272	221
852	1274	219
853	1277	218
854	1278	216
855	1279	215
856	1281	213
857	1283	212
858	1284	210
859	1285	209
860	1286	207
861	1289	206
862	1291	205
863	1293	203
864	1294	202
865	1295	200
866	1297	198
867	1298	197
868	1300	195
869	1301	194
870	1303	192
871	1306	191
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1314	184
877	1316	182
878	1319	181
879	1320	180
880	1322	178
881	1323	177
882	1325	175
883	1326	174
884	1327	172
885	1328	170
886	1329	169
887	1331	167
888	1334	166
889	1336	165
890	1337	163
891	1338	162
892	1340	160
893	1341	159
894	1342	157
895	1343	155
896	1344	154
897	1346	152
898	1347	151
899	1348	149
900	1349	148
901	1351	146
902	1352	145
903	1353	143
904	1354	142
905	1356	140
906	1357	139
907	1358	137
908	1361	136
909	1363	134
910	1364	133
911	1365	131
912	1367	130
913	1369	128
914	1370	127
915	1371	125
916	1372	124
917	1375	122
918	1377	121
919	1378	119
920	1380	118
921	1381	116
922	1383	115
923	1384	113
924	1386	112
925	1387	110
926	1389	109
927	1392	108
928	1393	106
929	1394	104
930	1396	103
931	1397	101
932	1398	100
933	1400	98
934	1403	97
935	1406	96
936	1408	94
937	1409	93
938	1411	91
939	1412	90
940	1413	88
941	1414	87
942	1416	85
943	1419	84
944	1420	82
945	1422	81
946	1423	79
947	1425	78
948	1426	76
949	1428	75
950	1429	73
951	1430	72
952	1431	70
953	1432	69
954	1434	67
955	1435	66
956	1437	64
957	1438	63
958	1439	61
959	1440	60
960	1442	58
961	1443	57
962	1444	55
963	1447	54
964	1449	52
965	1450	51
966	1451	49
967	1453	48
968	1455	46
969	1456	45
970	1457	43
971	1458	42
972	1460	40
973	1461	39
974	1462	37
975	1464	36
976	1465	34
977	1466	32
978	1467	31
979	1468	29
980	1470	28
981	1471	26
982	1473	25
983	1474	23
984	1477	22
985	1479	21
986	1480	19
987	1481	17
988	1483	16
989	1484	14
990	1485	13
991	1486	11
992	1488	10
993	1489	8
994	1490	7
995	1492	5
996	1493	4
997	1494	2
998	1496	1
999	1497	0
