date,start_stop_alige_count_,start_stop_alige_count_Alive,start_stop_alige_count_Start,start_stop_alige_count_Stop,type__count_Billing-Accounting,type__count_Billing-Authentication,mean_delay,mean_input_trafic,mean_output_trafic,count_failed
2020-04-25 20:00:00,48815,238798,44920,23951,331350,25134,0.23012855247997016,2074889185.8138835,8979237754.227491,2579
2020-04-25 21:00:00,46261,148402,40988,26720,238587,23784,0.2450685171075275,3854093200.3334017,15825674865.22835,2537
2020-04-25 22:00:00,47138,248538,34331,29996,338504,21499,0.23940317647233636,2126009545.681504,9064966999.51099,2440
2020-04-25 23:00:00,43737,141030,31179,29991,225774,20163,0.26308560576172696,3628286475.0492635,15920108297.477581,2461
2020-04-26 00:00:00,41248,271012,27562,31067,351684,19205,0.27795155720862685,2230225805.829081,8977079697.116922,2502
2020-04-26 01:00:00,36756,150623,29961,20127,217991,19476,0.2024482740306956,3649195812.92858,15525570812.178753,2465
2020-04-26 02:00:00,35679,213792,24639,16177,272228,18059,0.2112615127279549,2357867293.0947604,9642570998.24902,2438
2020-04-26 03:00:00,34562,116530,24885,13153,171167,17963,0.20378777551860086,3280759608.1260843,15355496663.16902,2706
2020-04-26 04:00:00,35026,197375,24985,11271,251057,17600,0.2162364146940291,2815675830.074509,10639934626.543787,2868
2020-04-26 05:00:00,34567,111893,27832,10435,166432,18295,0.1997449740464858,3275135002.23052,14946537949.547903,2864
2020-04-26 06:00:00,37645,239182,34764,12330,304483,19438,0.213455422715322,2987043262.2069244,11549068399.94303,2934
2020-04-26 07:00:00,41833,138362,46418,15246,219641,22218,0.19462892277405444,3331859261.900168,14683443016.45523,2805
2020-04-26 08:00:00,49298,210097,59771,20297,314435,25028,0.2080804885926606,3341147464.812673,12894003732.949686,2483
2020-04-26 09:00:00,53274,130081,65917,24815,247735,26352,0.1946662047781531,3090345768.5337386,13861254500.044216,2548
2020-04-26 10:00:00,57714,230090,67079,28561,356985,26459,0.22380791579520745,2947033884.0696497,12100711332.2061,2559
2020-04-26 11:00:00,60622,149944,70151,32660,286330,27047,0.2057731117396778,2754017533.579669,11893650864.257969,2653
2020-04-26 12:00:00,62648,228398,68940,33848,366635,27199,0.1874396501192556,2949385074.0432305,12104890609.4313,2609
2020-04-26 13:00:00,65782,154906,74678,37772,304709,28429,0.17078549341240884,2646552057.484627,11506204694.235287,2616
2020-04-26 14:00:00,64125,212829,71974,37298,358239,27987,0.183013499945709,3080220953.7158165,12719799663.652105,2644
2020-04-26 15:00:00,63809,168454,77333,37291,317593,29294,0.17414315450163867,2540969243.9933662,11164985803.291424,2678
2020-04-26 16:00:00,57454,198661,59005,28334,316448,27006,0.18735873822863885,3289836824.730298,13369547367.138712,2714
2020-04-26 17:00:00,55330,191429,55286,26178,301374,26849,0.1870631522275479,2422601878.1731515,10729853849.120209,2738
2020-04-26 18:00:00,51800,175968,52894,24880,279471,26071,0.18880472270407,3743198169.8042,14663324736.19707,2825
2020-04-26 19:00:00,48565,217978,47553,23041,311372,25765,0.2046045862402101,2343427459.1184177,10460853728.86611,2669
2020-04-26 20:00:00,47650,166159,46728,25029,260490,25076,0.2388066045963041,3799045788.13789,14943736111.81997,2661
2020-04-26 21:00:00,47430,233113,41476,28355,326902,23472,0.3387085006004704,2306026307.834691,10123114521.155815,2549
2020-04-26 22:00:00,44011,150959,31984,29976,236078,20852,0.5701684847735872,3743834998.803498,15261231714.22629,2502
2020-04-26 23:00:00,41323,229759,26972,28442,307139,19357,0.3966184538173664,2500488778.72978,10774840367.249228,2341
2020-04-27 00:00:00,35077,166864,22369,26820,232552,18578,0.35535704242831295,3420402313.5870905,14580770783.292637,2333
2020-04-27 01:00:00,31915,261307,20825,17442,314334,17155,0.2279517830479608,2614482350.507855,10607014950.633692,2317
2020-04-27 02:00:00,29061,128283,18360,12392,171655,16441,0.2352711327360949,3646087320.253393,15562293970.965515,2320
2020-04-27 03:00:00,28880,198281,18711,10088,239621,16339,0.2354763767495387,2739308556.3357267,11302777005.840178,2316
2020-04-27 04:00:00,28977,117555,20070,9637,160005,16234,0.2290018554093048,3466194143.755983,15885307748.014103,2364
2020-04-27 05:00:00,30553,190106,24731,9300,237774,16916,0.2263982436352005,3173286860.7951565,12085706103.139946,2349
2020-04-27 06:00:00,33742,143233,35791,13015,206801,18980,0.216153700543531,3531891264.9065523,15403792248.100315,2285
2020-04-27 07:00:00,39508,239349,50403,17655,324874,22041,0.21425078832772354,3224588709.741035,12532479645.79454,2389
2020-04-27 08:00:00,45836,131759,62961,21058,236025,25589,0.1924036621037452,3346741413.967811,14970425209.148071,2559
2020-04-27 09:00:00,48909,222321,58989,24867,329850,25236,0.20917095796178947,3413041777.6798787,13299802151.158224,2546
2020-04-27 10:00:00,49535,153161,54854,25819,257887,25482,0.2012070004858666,2815197164.4758635,12594320305.62267,2602
2020-04-27 11:00:00,51689,231309,55834,28046,341089,25789,0.2117978596859476,3178190778.359473,13050759236.156445,2628
2020-04-27 12:00:00,50000,160749,52379,27035,265214,24949,0.20245483600512587,2750429377.864349,11925706483.754948,2673
2020-04-27 13:00:00,50456,225248,51087,25381,327039,25133,0.2167585844564207,3316841269.2903137,13502741645.901552,2680
2020-04-27 14:00:00,49115,165661,49543,25808,265364,24763,0.22268308519232488,2712132427.490032,11910377841.561708,2685
2020-04-27 15:00:00,50878,213689,50532,25698,315628,25169,0.20474108997166546,3433237789.8628955,13920903474.740095,2668
2020-04-27 16:00:00,51344,178772,50136,26293,280795,25750,0.2000048617836964,2618404730.493585,11640738947.9923,2657
2020-04-27 17:00:00,52212,199950,54680,26328,306598,26572,0.19958368788408604,3527439504.6321077,14217708390.027838,2756
2020-04-27 18:00:00,50107,192352,52024,24210,292822,25871,0.19942411551767356,2583553648.9411674,11699770292.218596,2794
2020-04-27 19:00:00,52013,181192,54998,27124,288874,26453,0.1990546883737371,3812410580.64564,14734936533.61936,2751
2020-04-27 20:00:00,50382,217649,51690,28425,322733,25413,0.2268509019979486,2484783378.7005005,11240351644.452936,2785
2020-04-27 21:00:00,48634,170838,44029,31018,270290,24229,0.24520763935964965,3788667781.196492,14701622683.708937,2765
2020-04-27 22:00:00,48415,229439,39860,35483,331444,21753,0.24929663982725905,2463707358.253316,11043561648.639154,2702
2020-04-27 23:00:00,44160,152685,32872,32619,242594,19742,0.29763805055101383,3906297969.715068,15781997882.798359,2673
2020-04-28 00:00:00,35393,260763,24806,26116,329223,17855,0.3209374610669426,2510178524.907142,10785401125.563623,2513
2020-04-28 01:00:00,33389,164216,23682,18474,222346,17415,0.21840697272405152,3751715745.6423564,15714677167.053185,2510
2020-04-28 02:00:00,32115,207944,22676,13736,259805,16666,0.22944571059525795,2710350538.054606,11429876205.153105,2499
2020-04-28 03:00:00,32866,125247,25257,13434,179995,16809,0.21514945512787825,3808232642.4251494,15772860347.06884,2468
2020-04-28 04:00:00,33590,192077,26561,12126,247538,16816,0.2222677105743439,2913811747.2405696,12362802505.19582,2452
2020-04-28 05:00:00,33991,119744,30352,11950,178559,17478,0.20319119095496815,3476850426.3980365,15722943906.151625,2474
2020-04-28 06:00:00,38620,235722,41540,15965,312150,19697,0.21916692068678692,3370275429.539993,13009929246.70135,2432
2020-04-28 07:00:00,43669,152582,56493,20319,250758,22305,0.19353945868673306,3377718671.7534947,14606253498.43729,2516
2020-04-28 08:00:00,51819,208760,73107,25351,333042,25995,0.204440095554457,3627542543.7916493,14599231048.011253,2572
2020-04-28 09:00:00,53555,143587,68374,28636,268187,25965,0.2006421112386237,3168416966.752304,13925228939.796059,2670
2020-04-28 10:00:00,56337,232836,65421,30280,358077,26797,0.2308650496434325,3393068594.2355537,13494907063.97242,2700
2020-04-28 11:00:00,56930,157794,63390,30467,281686,26895,0.2063746420267573,2770303928.729838,12342547950.10148,2797
2020-04-28 12:00:00,59435,228901,65461,31837,357768,27866,0.20350813347264812,3347019574.795109,13926076215.992731,2844
2020-04-28 13:00:00,63642,164086,70140,35045,303750,29163,0.18921460828521428,2713877706.52578,11791751134.94594,2764
2020-04-28 14:00:00,65881,226084,72480,36290,371047,29688,0.20193338454826767,3359849352.9117627,13914657470.609554,2653
2020-04-28 15:00:00,65960,169021,73541,37643,316079,30086,0.1922850279156844,2672807122.473808,11752420206.944777,2825
2020-04-28 16:00:00,65058,216163,68624,34736,354148,30433,0.1981686020213676,3437708103.463198,14234327362.629248,2870
2020-04-28 17:00:00,60837,181796,64284,30810,308143,29584,0.1999650349653992,2684421483.929725,11967423983.27407,2911
2020-04-28 18:00:00,55913,207142,56734,26532,318256,28065,0.20637304924433897,3578356430.012655,14734153471.434141,2930
2020-04-28 19:00:00,49557,197561,51004,24769,297766,25125,0.21732921394224586,2684858698.205825,12266940119.683737,2886
2020-04-28 20:00:00,48669,187703,48121,25871,285380,24984,0.2294494326650769,3835336400.3126225,15156195927.224297,2839
2020-04-28 21:00:00,49695,220479,45171,31664,323394,23615,0.2663936025008593,2660193915.074771,12063756569.575123,2654
2020-04-28 22:00:00,48118,171548,39193,35802,273667,20994,0.2494348374056405,3757302895.0914593,14997353221.252052,2759
2020-04-28 23:00:00,43594,220550,30939,31148,307294,18937,0.3095835532307175,2804081691.7448373,12686735550.327913,2633
2020-04-29 00:00:00,35536,177749,25754,26473,247950,17562,0.3045403501926819,3763327980.8417897,15106918004.938557,2583
2020-04-29 01:00:00,32814,255225,23143,17600,312224,16558,0.2322946216186717,2841045192.307277,12486946341.777905,2484
2020-04-29 02:00:00,31461,135200,22009,13927,186118,16479,0.22456241590490492,3768841302.341126,16078013907.14966,2456
2020-04-29 03:00:00,30177,196363,21329,11031,243449,15451,0.229192017532562,2935327008.8952236,12904253956.123505,2494
2020-04-29 04:00:00,29171,125749,21778,10149,171361,15486,0.223583385355906,3974689580.885193,16572630391.537006,2461
2020-04-29 05:00:00,29668,190904,26112,9733,240754,15663,0.21679235169874075,3107924147.5365763,13589234171.588795,2480
2020-04-29 06:00:00,36343,150958,40561,16518,225773,18607,0.2000940010103786,3777709797.1674743,16270410272.408731,2568
2020-04-29 07:00:00,42693,239639,56123,18936,334947,22444,0.19939815772282507,3465259655.3350825,13925513093.483631,2596
2020-04-29 08:00:00,47106,138450,64027,21907,245942,25548,0.1964678238880736,3675646209.7304015,16081410099.536058,2726
2020-04-29 09:00:00,50335,218664,60271,25921,329642,25549,0.21611265404878915,3603417908.902611,15216718338.013609,2825
2020-04-29 10:00:00,53342,156849,59995,30501,274214,26473,0.1944789472788219,3052269341.991305,13424679311.923443,2824
2020-04-29 11:00:00,53789,230758,57716,27620,343841,26042,0.2156241821410021,3548542313.866703,14735685072.77564,2712
2020-04-29 12:00:00,54124,160986,58547,28813,276325,26145,0.1953626578903943,2932427239.064236,12897071732.88423,2719
2020-04-29 13:00:00,54612,222918,55336,28263,334582,26547,0.21191210365573807,3648816774.6122203,15404842735.592394,2712
2020-04-29 14:00:00,56467,166881,59651,30241,286174,27066,0.19810402707516914,2900406079.7413893,12484756055.887836,2721
2020-04-29 15:00:00,56719,219006,58579,29044,336436,26912,0.21121009393446025,3712338304.741834,15556354728.852325,2612
